date,agg_mean__avg_pr,avg_q
1996-08-01,0.1637192340450104,1.4361
1996-09-01,0.0038927364549616,0.6347
1996-10-01,0.0145258015372543,0.1961
1996-11-01,1.0489400115618597,0.133
1996-12-01,0.0370451227334081,0.4168
1997-01-01,4.049201718477817,9.2248
1997-02-01,0.858179076341718,2.9793
1997-03-01,8.53111406389967,60.319
1997-04-01,3.8615017367500553,78.252
1997-05-01,2.1734456274105,20.9929
1997-06-01,0.0076075788765038,1.8097
1997-07-01,0.0752456795513278,0.4932
1997-08-01,0.0115414984316363,0.1203
1997-09-01,0.0007388450349809,0.0067
1997-10-01,0.005573302538713,0.0
1997-11-01,0.0571085747898162,0.0067
1997-12-01,0.6205966610130494,0.0239
1998-01-01,3.918657530215567,1.8542
1998-02-01,0.8546115528918611,5.1786
1998-03-01,3.348137714615649,11.87
1998-04-01,1.1473049854336814,1.8487
1998-05-01,0.1244299818387332,0.3965
1998-06-01,0.0373827544342677,0.3217
1998-07-01,0.0095490235877597,0.0261
1998-08-01,0.0420121803163524,0.0
1998-09-01,0.0,0.0
1998-10-01,0.0,0.0
1998-11-01,0.0,0.0
1998-12-01,0.1850688534378844,0.0
1999-01-01,4.2409565434634615,1.3581
1999-02-01,3.506160910535697,2.4625
1999-03-01,5.29499729034998,30.7581
1999-04-01,3.575827420676617,24.4087
1999-05-01,3.519424843753697,31.5126
1999-06-01,0.1317429822020805,1.5763
1999-07-01,0.0004122323836542,0.1706
1999-08-01,0.0,0.01
1999-09-01,0.0021298673155467,0.0
1999-10-01,0.0742515668673772,0.0648
1999-11-01,2.3006194668341298,0.1923
1999-12-01,2.929531001361535,2.1942
2000-01-01,2.9188966784020747,16.859
2000-02-01,6.587460788228429,45.6552
2000-03-01,5.6915427944289485,23.1261
2000-04-01,5.105477274465917,144.7483
2000-05-01,0.6256882254044502,9.3652
2000-06-01,0.2751342373838524,2.756
2000-07-01,0.2458273771767415,1.8377
2000-08-01,0.2617491484181217,1.1703
2000-09-01,0.3983214451775821,0.4043
2000-10-01,0.0044979800212186,0.1332
2000-11-01,0.3331438077484662,0.147
2000-12-01,1.2270040361476786,0.0719
2001-01-01,1.045781207016792,1.0706
2001-02-01,4.7740662548981945,16.8982
2001-03-01,3.7767225810199023,15.6706
2001-04-01,5.058959290050874,42.5023
2001-05-01,0.3312444014153562,7.227
2001-06-01,0.6208816796308404,1.6343
2001-07-01,0.0658439784963832,0.5368
2001-08-01,0.007138615280995,0.0929
2001-09-01,0.0094875897458461,0.0013
2001-10-01,0.0029062877582292,0.0
2001-11-01,0.0246005319229177,0.0
2001-12-01,0.0801872093779244,0.4903
2002-01-01,7.83984520013409,42.0726
2002-02-01,0.7691570160002495,2.3146
2002-03-01,4.457411775217388,16.8874
2002-04-01,3.818643123283141,44.67
2002-05-01,0.9815343632890884,9.1295
2002-06-01,0.607212734784238,3.4077
2002-07-01,0.032634731314324,0.6329
2002-08-01,0.0,0.2742
2002-09-01,0.0001215544600197,0.0967
2002-10-01,0.007533711570916,0.001
2002-11-01,0.0,0.0
2002-12-01,0.1561651591682077,0.1755
2003-01-01,1.9377260839482624,1.8874
2003-02-01,6.164654403645431,28.0732
2003-03-01,7.274264677310772,133.6603
2003-04-01,2.607064061657553,45.071
2003-05-01,0.618790961344949,9.4231
2003-06-01,1.2152431014912368,3.9689
2003-07-01,0.0345879613672823,1.6584
2003-08-01,0.0072581458227364,0.3523
2003-09-01,0.0,0.0353
2003-10-01,0.0,0.0
2003-11-01,6.860091045577001e-05,0.0
2003-12-01,0.169505546207112,0.0
2004-01-01,16.320318011121284,310.58
2004-02-01,5.199576585482389,396.73
2004-03-01,2.478871258846069,107.7845
2004-04-01,1.4059051621869496,12.5867
2004-05-01,0.8231694216631417,8.1891
2004-06-01,0.8249303983026379,5.6863
2004-07-01,0.2197505869468974,4.9824
2004-08-01,0.0234550191615335,2.2506
2004-09-01,0.0053911247414837,0.883
2004-10-01,0.0,0.2
2004-11-01,0.0602688193337121,0.011
2004-12-01,0.5902924418084271,0.0261
2005-01-01,4.834380428854708,15.1152
2005-02-01,1.429582323308603,8.7189
2005-03-01,6.980057059969623,74.1503
2005-04-01,2.299338686113418,34.346
2005-05-01,1.567965723334647,10.5903
2005-06-01,0.4004209990565334,3.4177
2005-07-01,0.0014931680736308,1.1894
2005-08-01,0.0602394424678922,0.2448
2005-09-01,0.0,0.01
2005-10-01,0.0,0.0
2005-11-01,0.0147327505468274,0.0
2005-12-01,1.1570670534728362,0.0
2006-01-01,3.019799170173642,0.2213
2006-02-01,3.916722671321597,3.5504
2006-03-01,4.122690535915231,21.8013
2006-04-01,4.349947147116726,52.1167
2006-05-01,1.9906407057166584,38.7358
2006-06-01,1.4064211620944873,4.5407
2006-07-01,0.4207142694762347,1.9213
2006-08-01,0.1531932643447513,0.4865
2006-09-01,0.2233371590840804,0.1127
2006-10-01,0.1934633701322802,0.0
2006-11-01,0.0100421505451234,0.0
2006-12-01,0.2473637306484791,0.0
2007-01-01,0.8662719653769181,0.0
2007-02-01,10.737676523761223,147.3175
2007-03-01,2.9758217109690754,17.5368
2007-04-01,2.6817593454111397,11.4738
2007-05-01,0.5455866282117962,6.5553
2007-06-01,0.3598673903096318,2.1293
2007-07-01,0.0749397747625871,0.6932
2007-08-01,0.0808459569608178,0.0574
2007-09-01,0.0441944853754324,0.0
2007-10-01,0.3566029213603999,0.0
2007-11-01,0.1253507785360965,0.0
2007-12-01,1.7644079192178923,0.0
2008-01-01,2.4659287616299403,0.361
2008-02-01,4.036951961384372,9.8807
2008-03-01,12.463066789387868,129.6772
2008-04-01,6.392678113119682,467.08
2008-05-01,1.5419893584312545,44.5848
2008-06-01,0.0411642572514736,6.8547
2008-07-01,0.1559473469797549,2.9155
2008-08-01,0.3964406134936431,1.5652
2008-09-01,0.0185226922765204,0.3317
2008-10-01,0.0197182924936972,0.0216
2008-11-01,0.0109815833929407,0.0
2008-12-01,0.1472545444011652,0.0
2009-01-01,2.816733663497922,2.2858
2009-02-01,5.626774997819282,11.7775
2009-03-01,4.098088970482374,71.4226
2009-04-01,11.261639550613976,360.8028
2009-05-01,5.395745475465025,544.5407
2009-06-01,0.7686548769839916,40.4678
2009-07-01,0.6217278501002557,10.1713
2009-08-01,0.0982830805796967,4.6184
2009-09-01,0.0993575274412596,2.9326
2009-10-01,0.1248144649371884,2.072
2009-11-01,0.0660080614261538,1.152
2009-12-01,0.4363183650037009,0.7613
2010-01-01,2.363771555622085,4.4587
2010-02-01,0.4899228187738343,1.5975
2010-03-01,1.9769592869829,2.5752
2010-04-01,3.586274482898596,25.8963
2010-05-01,0.5930598711707309,2.9781
2010-06-01,0.2087918388246703,1.37
2010-07-01,0.0947338994081849,0.3052
2010-08-01,0.0398162359616121,0.0197
2010-09-01,0.1016600928627122,0.0
2010-10-01,0.862450518863639,0.4265
2010-11-01,0.0205277192751868,0.0543
2010-12-01,3.736818361639849,1.3903
2011-01-01,4.924589582294288,9.9023
2011-02-01,5.016072593299522,12.8591
2011-03-01,4.115168347967182,49.8639
2011-04-01,4.988796357443604,31.49
2011-05-01,5.071984565368176,91.8095
2011-06-01,0.6150062934583439,6.9039
2011-07-01,3.442769633886326,4.3689
2011-08-01,0.9269846912571582,2.5584
2011-09-01,0.0137874113873307,0.8727
2011-10-01,0.722908644054672,0.2694
2011-11-01,0.0825653655355988,0.31
2011-12-01,0.0016015364697836,0.0045
2012-01-01,1.2335701692412404,0.0
2012-02-01,3.730508299960089,9.7097
2012-03-01,1.7476591351246409,8.2494
2012-04-01,0.9229147471010994,5.4307
2012-05-01,0.1115801818809343,0.5671
2012-06-01,0.0209486667193628,0.0237
2012-07-01,0.010849439224172,0.0
2012-08-01,0.0,0.0
2012-09-01,0.0,0.0
2012-10-01,0.0012378037324604,0.0
2012-11-01,0.0229511269330037,0.0
2012-12-01,0.0148375335312602,0.0
2013-01-01,0.7807867236736328,0.0
2013-02-01,1.8460470336037584,0.025
